DeptId,ZipCode,NumberOfStations,ActivePersonnel
0,74432,1,15
1,72537,2,29
2,01085,1,30
3,74647,1,8
4,65793,3,37
5,19044,0,0
6,58102,1,24
7,32218,1,22
8,63044,1,27
9,37777,1,35
10,02852,1,63
11,55811,1,31
12,84116,1,29
13,00979,1,11
14,88317,1,12
15,85034,1,26
16,85706,1,38
17,31408,1,52
18,25405,1,30
19,13211,1,39
20,61607,1,28
21,62707,1,24
22,51111,1,65
23,39307,1,64
24,72903,1,25
25,43314,3,26
26,38859,1,16
27,63044,1,3
28,95678,1,21
29,72958,1,15
30,76692,1,8
31,75109,1,23
32,39358,1,12
33,13343,2,42
34,78953,2,16
35,71754,2,10
36,37620,1,32
37,33039,1,50
38,39641,3,42
39,27501,2,43
40,61920,1,18
41,66549,1,15
42,70510,2,26
43,78612,1,12
44,75801,1,12
45,72542,1,12
46,82005,2,53
47,14304,1,54
48,77320,1,22
49,36278,1,20
50,46125,2,21
51,14802,1,50
52,06351,1,45
53,16417,1,48
54,30680,1,8
55,28147,1,7
56,29620,1,31
57,29620,1,252
58,36310,1,33
59,70510,4,38
60,31001,1,15
61,60064,1,32
62,76621,1,15
63,24606,1,25
64,60064,1,53
65,58001,1,16
66,98520,2,36
67,21001,4,75
68,57401,3,48
69,28315,2,65
70,21005,3,60
71,57401,1,28
72,07747,1,46
73,45101,1,14
74,83210,2,25
75,79311,1,37
76,87006,2,21
77,68001,1,24
78,79601,8,198
79,67410,1,24
80,61410,4,60
81,23018,3,103
82,19001,1,42
83,02351,2,27
84,47330,1,22
85,75161,1,15
86,46814,2,82
87,54101,1,25
88,59001,1,18
89,08201,1,45
90,57369,1,25
91,70515,1,19
92,70515,3,44
93,20607,1,29
94,83342,1,11
95,74720,1,11
96,39735,2,20
97,50601,1,29
98,18301,1,35
99,28456,3,30
100,87034,1,16
101,71953,1,14
102,15520,1,15
103,04001,1,33
104,02743,3,41
105,03601,1,20
106,53020,1,28
107,74820,2,32
108,49301,2,24
109,56510,1,19
110,45810,1,14
111,63559,4,25
112,74960,2,20
113,42728,1,33
114,50002,1,28
115,74330,1,25
116,97330,2,17
117,42202,1,23
118,99546,1,5
119,16046,2,46
120,13606,1,18
121,53910,2,35
122,80229,4,104
123,99341,1,30
124,99371,1,24
125,99169,1,30
126,99344,3,28
127,14120,2,40
128,13605,1,58
129,01220,1,28
130,46056,1,30
131,68301,1,22
132,58210,1,15
133,15951,1,30
134,15930,1,40
135,49905,2,26
136,43070,1,15
137,37010,1,17
138,55909,1,25
139,15611,1,33
140,19501,1,40
141,43802,1,32
142,76550,1,10
143,38310,1,16
144,62214,1,25
145,73520,1,8
146,70710,3,29
147,49220,3,32
148,75001,2,56
149,60101,3,66
150,48367,2,21
151,15411,1,23
152,14801,2,26
153,05491,1,29
154,31620,2,36
155,50003,1,27
156,53001,1,24
157,76490,1,12
158,07710,2,53
159,35006,1,14
160,96006,1,16
161,72001,1,12
162,49221,1,32
163,49221,1,28
164,56110,1,26
165,97901,1,15
166,15801,1,25
167,26210,1,18
168,79001,1,10
169,27006,2,52
170,63730,1,17
171,46102,2,39
172,24354,1,28
173,95813,1,15
174,19711,5,151
175,63123,3,36
176,13730,1,23
177,74331,1,17
178,50830,1,30
179,83110,1,30
180,57520,1,28
181,80101,1,12
182,01001,2,69
183,52530,1,16
184,62554,2,50
185,97406,1,16
186,39452,1,30
187,28016,1,47
188,78330,1,11
189,85320,1,19
190,49901,2,18
191,27910,1,30
192,27910,1,226
193,45696,2,16
194,29801,4,119
195,30410,1,10
196,52201,1,25
197,69210,1,36
198,93551,2,52
199,74003,1,7
200,42301,1,32
201,17302,1,56
202,99001,1,39
203,56431,1,32
204,16003,1,27
205,85139,1,69
206,99615,1,5
207,48767,1,16
208,14001,1,72
209,44306,13,360
210,51001,1,25
211,35441,1,24
212,80720,1,25
213,61559,1,32
214,99553,1,14
215,35212,1,15
216,36523,1,20
217,77351,1,18
218,35007,3,60
219,32627,16,257
220,99554,1,4
221,27406,2,46
222,94568,29,400
223,30411,1,9
224,78516,1,25
225,78209,1,28
226,58830,2,31
227,78624,1,6
228,49009,1,22
229,38001,1,23
230,88310,2,26
231,81101,2,33
232,49706,1,28
233,37879,1,20
234,31622,1,0
235,28713,1,17
236,56667,1,15
237,99701,1,14
238,49611,1,16
239,75410,1,20
240,45710,1,23
241,64402,2,20
242,53502,1,23
243,82070,1,181
244,12202,9,260
245,56307,1,25
246,31701,11,180
247,94706,1,19
248,97321,5,81
249,61230,1,35
250,12211,1,24
251,74721,1,11
252,76430,1,19
253,05820,1,14
254,47320,1,30
255,48417,1,13
256,28001,3,44
