Measure,ZipCode,Ratio,TotalPopulation
Obesity among adults,77489,0.447,37257
Current asthma among adults,77493,0.088,51774
Visits to doctor for routine checkup within the past year among adults,77493,0.72,51774
Depression among adults,77493,0.208,51774
Housing insecurity in the past 12 months among adults,77493,0.166,51774
Feeling socially isolated among adults,77493,0.37,51774
Obesity among adults,77493,0.333,51774
Current asthma among adults,77494,0.082,130872
Visits to doctor for routine checkup within the past year among adults,77494,0.743,130872
Depression among adults,77494,0.187,130872
Housing insecurity in the past 12 months among adults,77494,0.097,130872
Feeling socially isolated among adults,77494,0.315,130872
Obesity among adults,77494,0.308,130872
Current asthma among adults,77498,0.084,51472
Visits to doctor for routine checkup within the past year among adults,77498,0.756,51472
Depression among adults,77498,0.176,51472
Housing insecurity in the past 12 months among adults,77498,0.134,51472
Feeling socially isolated among adults,77498,0.335,51472
Obesity among adults,77498,0.317,51472
Current asthma among adults,77502,0.096,37495
Visits to doctor for routine checkup within the past year among adults,77502,0.69,37495
Depression among adults,77502,0.221,37495
Housing insecurity in the past 12 months among adults,77502,0.277,37495
Feeling socially isolated among adults,77502,0.407,37495
Obesity among adults,77502,0.389,37495
Current asthma among adults,77503,0.091,24956
Visits to doctor for routine checkup within the past year among adults,77503,0.701,24956
Depression among adults,77503,0.214,24956
Housing insecurity in the past 12 months among adults,77503,0.224,24956
Feeling socially isolated among adults,77503,0.394,24956
Obesity among adults,77503,0.363,24956
Current asthma among adults,77504,0.09,25728
Visits to doctor for routine checkup within the past year among adults,77504,0.711,25728
Depression among adults,77504,0.211,25728
Housing insecurity in the past 12 months among adults,77504,0.228,25728
Feeling socially isolated among adults,77504,0.391,25728
Obesity among adults,77504,0.36,25728
Current asthma among adults,77505,0.085,23584
Visits to doctor for routine checkup within the past year among adults,77505,0.723,23584
Depression among adults,77505,0.206,23584
Housing insecurity in the past 12 months among adults,77505,0.155,23584
Feeling socially isolated among adults,77505,0.373,23584
Obesity among adults,77505,0.315,23584
Current asthma among adults,77506,0.095,34431
Visits to doctor for routine checkup within the past year among adults,77506,0.683,34431
Depression among adults,77506,0.22,34431
Housing insecurity in the past 12 months among adults,77506,0.308,34431
Feeling socially isolated among adults,77506,0.418,34431
Obesity among adults,77506,0.399,34431
Current asthma among adults,77507,0.095,770
Visits to doctor for routine checkup within the past year among adults,77507,0.665,770
Depression among adults,77507,0.243,770
Housing insecurity in the past 12 months among adults,77507,0.205,770
Feeling socially isolated among adults,77507,0.417,770
Obesity among adults,77507,0.324,770
Current asthma among adults,77510,0.1,14357
Visits to doctor for routine checkup within the past year among adults,77510,0.729,14357
Depression among adults,77510,0.248,14357
Housing insecurity in the past 12 months among adults,77510,0.119,14357
