Id,ZipCode,Longitude,Latitude,FullTimeOfficers,PartTimeOfficers,TotalActiveOfficers
1,30141,-84.7609023,33.8757803,15,0,15
2,30427,-81.9304947,31.9352836,8,3,11
3,71369,-91.8106312,30.9864994,7,3,10
4,71024,-93.2388508,32.5412036,1,0,1
5,48759,-83.4532706,43.732038,3,14,17
6,48933,-84.553552,42.7323296,8,0,8
7,48836,-84.07282337,42.65930991,6,4,10
8,48846,-85.0579943,42.9818583,17,3,20
9,41164,-83.1850506,38.2948271,5,3,8
10,48722,-83.880202,43.3556742,9,0,9
11,49913,-88.4533635,47.2477895,1,4,5
12,41179,-83.3151205,38.6001616,6,0,6
13,48730,-83.5003306,44.2794883,6,0,6
14,42064,-88.0817685,37.3325959,3,0,3
15,49503,-85.6685339,42.9635764,319,0,319
16,48843,-83.9235697,42.6046069,19,3,22
17,47130,-85.6526469,38.336883,2,1,3
18,48179,-83.271672,42.0621987,4,2,6
19,41051,-84.54538844,38.91040442,36,0,36
20,20784,-76.8653193,38.964726,12,0,12
21,41011,-84.533327,39.0714884,6,0,6
22,20715,-76.7412073,38.9615384,45,0,45
23,48062,-82.7473128,42.8102679,9,6,15
24,40360,-83.7704992,38.1437649,5,0,5
25,21863,-75.3947277,38.176964,8,0,8
26,42743,-85.50191164,37.26238875,7,1,8
27,42041,-88.87626522,36.51139092,10,1,11
28,46901,-86.12955982,40.4861171,100,0,100
29,46016,-85.67663705,40.10847241,51,0,51
30,04412,-68.76089197,44.78047882,21,2,23
31,48076,-83.2213592,42.4914663,7,6,13
32,46016,-85.6777813,40.1056722,117,0,117
33,66436,-95.74712292,39.46129893,15,1,16
34,04685,-68.4515113,44.1544995,1,3,4
35,04578,-69.66961571,44.00471194,28,10,38
36,04609,-68.20586139,44.38822367,9,10,19
37,48393,-83.5326935,42.5237619,20,0,20
38,48178,-83.654103,42.4612074,18,0,18
39,04736,-68.011034,46.8603632,14,6,20
40,40456,-84.34029459,37.35447076,8,0,8
41,48811,-84.8455008,43.1772728,2,2,4
42,48838,-85.2535944,43.1767861,17,0,17
43,04092,-70.3538771,43.6792267,35,0,35
44,04107,-70.2277168,43.5944397,13,0,13
45,42220,-87.15364379,36.80985186,7,0,7
46,49945,-88.4088817,47.1921588,1,2,3
47,42701,-85.85804962,37.69297396,33,2,35
48,95076,-121.7538566,36.9086228,64,0,64
49,95337,-121.2320699,37.79977787,76,0,76
50,95437,-123.8038551,39.432339,17,0,17
51,50677,-92.4659972,42.7265317,11,0,11
52,50616,-92.6773145,43.0660516,14,1,15
53,51058,-95.5000062,42.9708156,1,0,1
54,50575,-94.684426,42.5505752,1,0,1
55,52801,-90.5791999,41.5238493,44,31,75
56,52501,-92.4154976,41.0205876,36,0,36
57,50216,-94.3580652,41.6932485,3,1,4
58,50213,-93.7632505,41.0446811,9,0,9
59,52069,-90.3942255,42.0504612,1,2,3
60,52742,-90.53935621,41.82431974,10,2,12
61,52001,-90.66547654,42.50159719,100,0,100
62,52031,-90.4258079,42.25832097,5,3,8
63,52641,-91.5562984,40.966552,14,0,14
64,52404,-91.6756665,41.9748922,104,0,104
65,52339,-92.5801805,41.9626027,5,1,6
66,50833,-94.7199398,40.667769,3,0,3
67,50530,-94.0712385,42.2608782,1,1,2
68,50325,-93.7347051,41.6079464,24,0,24
69,52738,-91.36203878,41.27927848,4,0,4
70,52761,-91.0454616,41.4248617,39,0,39
71,50421,-93.6139441,42.8466173,5,0,5
72,52753,-90.3441956,41.5954062,7,2,9
73,50456,-93.2013315,43.28426,3,0,3
74,51501,-95.8526086,41.2572908,105,0,105
75,06340,-72.0100211,41.312483,6,4,10
76,33160,-80.12155825,25.94258256,45,0,45
77,80623,-104.7772722,40.2834101,3,0,3
78,70390,-91.0243248,29.941116,50,2,52
79,70806,-91.10567249,30.44958116,1215,0,1215
80,91710,-117.6909289,34.0126094,96,7,103
81,92054,-117.3286833,33.225881,210,0,210
82,93561,-118.6256762,35.08306186,3,1,4
83,93301,-119.0205769,35.3731275,348,0,348
84,94704,-122.2732455,37.8702149,186,0,186
85,94014,-122.4583602,37.6771528,18,0,18
86,93638,-120.0550049,36.9605186,60,0,60
87,51537,-95.3198284,41.6565636,8,0,8
88,52577,-92.6428862,41.29503062,17,0,17
89,50311,-93.708148,41.599167,13,0,13
90,51458,-95.2524959,42.3123047,1,0,1
91,52801,-90.57757527,41.52396009,166,0,166
92,50010,-93.6174414,42.0263818,51,0,51
93,50436,-93.6362309,43.2678692,9,3,12
94,51355,-95.1311303,43.3803518,4,0,4
95,50228,-93.23423357,41.59822466,3,3,6
96,52052,-91.09647854,42.78144541,4,2,6
97,50319,-93.60734835,41.58827331,669,0,669
98,61369,-89.13445362,41.00125546,1,4,5
99,62401,-88.6212405,39.124842,0,7,7
100,67730,-101.0396243,39.80822763,3,0,3
101,66547,-96.30622229,39.20155743,8,8,16
102,46311,-87.5222415,41.4922833,26,0,26
103,46307,-87.362858,41.4186024,40,0,40
104,83617,-116.494165,43.8753239,13,0,13
105,46773,-84.8693258,40.9743407,1,0,1
106,42023,-89.0114097,36.8717126,1,1,2
107,46321,-87.50388589,41.56238033,39,0,39
108,46356,-87.40799904,41.29086372,14,0,14
109,66087,-95.09084473,39.78642482,1,0,1
110,67548,-99.30987126,38.53403785,3,0,3
111,67151,-97.25654631,38.11810292,1,0,1
112,47220,-86.0362864,38.8744699,14,0,14
113,21716,-77.62576187,39.31304968,8,0,8
114,61491,-89.76857222,41.06143311,2,3,5
115,67756,-101.7995362,39.77455485,4,3,7
116,41749,-83.3742481,37.16194849,3,0,3
117,67557,-98.9681797,37.9582275,1,1,2
118,66901,-97.66497267,39.5718282,11,0,11
119,67839,-100.4652113,38.48138519,5,1,6
120,66748,-95.43719326,37.81098151,6,0,6
121,83543,-116.2409084,46.2333134,6,0,6
122,83422,-111.1105891,43.7242182,6,0,6
123,49021,-85.0183243,42.4450573,2,4,6
124,48604,-83.9204534,43.4790673,2,0,2
125,48623,-84.1189987,43.5237056,5,8,13
126,83650,-116.5510113,43.2168885,18,0,18
127,48758,-83.67536866,43.40892065,1,0,1
128,62612,-90.00671234,39.88894801,1,3,4
129,20650,-76.62884741,38.30456626,120,0,120
130,49251,-84.43102968,42.45029405,3,2,5
131,48609,-84.0754506,43.4186328,7,0,7
132,60453,-87.7538397,41.7205766,106,0,106
133,62017,-89.3908362,39.0905236,1,0,1
