ZipCode,Latitude,Longitude,City,State,Population
00501,40.81,-73.04,Holtsville,NY,
00544,40.81,-73.04,Holtsville,NY,
00601,18.16,-66.72,Adjuntas,PR,
00602,18.38,-67.18,Aguada,PR,
00603,18.43,-67.15,Aguadilla,PR,
00604,18.43,-67.15,Aguadilla,PR,
00605,18.43,-67.15,Aguadilla,PR,
00606,18.18,-66.98,Maricao,PR,
00610,18.28,-67.14,Anasco,PR,
00611,18.28,-66.81,Angeles,PR,
00612,18.45,-66.73,Arecibo,PR,
00613,18.45,-66.73,Arecibo,PR,
00614,18.45,-66.73,Arecibo,PR,
00616,18.42,-66.67,Bajadero,PR,
00617,18.45,-66.56,Barceloneta,PR,
00622,17.99,-67.15,Boqueron,PR,
00623,18.08,-67.14,Cabo Rojo,PR,
00624,18.06,-66.72,Penuelas,PR,
00627,18.48,-66.84,Camuy,PR,
00631,18.19,-66.82,Castaner,PR,
00636,18.16,-67.08,Rosario,PR,
00637,18.08,-66.96,Sabana Grande,PR,
00638,18.33,-66.47,Ciales,PR,
00641,18.27,-66.7,Utuado,PR,
00646,18.47,-66.27,Dorado,PR,
00647,17.96,-66.94,Ensenada,PR,
00650,18.36,-66.56,Florida,PR,
00652,18.45,-66.6,Garrochales,PR,
00653,17.99,-66.89,Guanica,PR,
00656,18.02,-66.79,Guayanilla,PR,
00659,18.48,-66.82,Hatillo,PR,
00660,18.14,-67.12,Hormigueros,PR,
00662,18.5,-67.02,Isabela,PR,
00664,18.22,-66.59,Jayuya,PR,
00667,18.04,-67.06,Lajas,PR,
00669,18.29,-66.88,Lares,PR,
00670,18.27,-67.06,Las Marias,PR,
00674,18.43,-66.48,Manati,PR,
00676,18.39,-67.11,Moca,PR,
00677,18.34,-67.25,Rincon,PR,
00678,18.47,-66.93,Quebradillas,PR,
00680,18.2,-67.14,Mayaguez,PR,
00681,18.2,-67.14,Mayaguez,PR,
00682,18.22,-67.16,Mayaguez,PR,
00683,18.08,-67.04,San German,PR,
00685,18.33,-66.99,San Sebastian,PR,
00687,18.32,-66.4,Morovis,PR,
00688,18.38,-66.62,Sabana Hoyos,PR,
00690,18.49,-67.09,San Antonio,PR,
00692,18.41,-66.32,Vega Alta,PR,
00693,18.44,-66.39,Vega Baja,PR,
00694,18.48,-66.39,Vega Baja,PR,
00698,18.03,-66.86,Yauco,PR,
00703,18.25,-66.1,Aguas Buenas,PR,
00704,17.96,-66.22,Aguirre,PR,
00705,18.14,-66.26,Aibonito,PR,
00707,18.0,-65.9,Maunabo,PR,
00714,17.97,-66.06,Arroyo,PR,
00715,18.01,-66.56,Mercedita,PR,
00716,17.98,-66.6,Ponce,PR,
00717,18.0,-66.61,Ponce,PR,
00718,18.21,-65.73,Naguabo,PR,
00719,18.3,-66.24,Naranjito,PR,
00720,18.22,-66.39,Orocovis,PR,
00721,18.37,-65.77,Palmer,PR,
00723,18.0,-66.01,Patillas,PR,
00725,18.23,-66.03,Caguas,PR,
00726,18.23,-66.03,Caguas,PR,
00727,18.22,-66.07,Caguas,PR,
00728,17.99,-66.66,Ponce,PR,
00729,18.37,-65.9,Canovanas,PR,
00730,18.03,-66.62,Ponce,PR,
00731,18.11,-66.63,Ponce,PR,
00732,17.98,-66.6,Ponce,PR,
00733,17.98,-66.6,Ponce,PR,
00734,17.98,-66.6,Ponce,PR,
00735,18.25,-65.68,Ceiba,PR,
00736,18.11,-66.16,Cayey,PR,
00737,18.11,-66.16,Cayey,PR,
00738,18.33,-65.65,Fajardo,PR,
00739,18.17,-66.15,Cidra,PR,
00740,18.33,-65.63,Puerto Real,PR,
00741,18.16,-65.75,Punta Santiago,PR,
00742,18.27,-65.65,Roosevelt Roads,PR,
00744,18.22,-65.79,Rio Blanco,PR,
00745,18.38,-65.83,Rio Grande,PR,
00751,17.97,-66.29,Salinas,PR,
00754,18.19,-65.96,San Lorenzo,PR,
00757,17.97,-66.4,Santa Isabel,PR,
00765,18.13,-65.44,Vieques,PR,
00766,18.13,-66.48,Villalba,PR,
00767,18.04,-65.87,Yabucoa,PR,
00769,18.08,-66.36,Coamo,PR,
00771,18.18,-65.86,Las Piedras,PR,
00772,18.43,-65.88,Loiza,PR,
00773,18.34,-65.72,Luquillo,PR,
00775,18.33,-65.3,Culebra,PR,
00777,18.22,-65.91,Juncos,PR,
00778,18.25,-65.97,Gurabo,PR,
00780,18.09,-66.57,Coto Laurel,PR,
00782,18.22,-66.22,Comerio,PR,
00783,18.34,-66.31,Corozal,PR,
00784,17.97,-66.11,Guayama,PR,
00785,17.97,-66.11,Guayama,PR,
00786,18.14,-66.23,La Plata,PR,
00791,18.15,-65.81,Humacao,PR,
00792,18.15,-65.81,Humacao,PR,
00794,18.18,-66.3,Barranquitas,PR,
00795,18.05,-66.5,Juana Diaz,PR,
00801,18.35,-64.97,St Thomas,VI,
00802,18.35,-64.93,St Thomas,VI,
00803,18.35,-64.93,St Thomas,VI,
00804,18.35,-64.93,St Thomas,VI,
00805,18.34,-64.93,St Thomas,VI,
00820,17.74,-64.7,Christiansted,VI,
00821,17.74,-64.7,Christiansted,VI,
00822,17.74,-64.7,Christiansted,VI,
00823,17.72,-64.75,Christiansted,VI,
00824,17.74,-64.68,Christiansted,VI,
00830,18.33,-64.79,St John,VI,
00831,18.33,-64.79,St John,VI,
00840,17.71,-64.88,Frederiksted,VI,
00841,17.77,-64.81,Frederiksted,VI,
00850,17.73,-64.79,Kingshill,VI,
00851,17.75,-64.79,Kingshill,VI,
00901,18.47,-66.11,San Juan,PR,
00902,18.4,-66.06,San Juan,PR,
00906,18.46,-66.09,San Juan,PR,
00907,18.45,-66.08,San Juan,PR,
00908,18.4,-66.06,San Juan,PR,
00909,18.44,-66.07,San Juan,PR,
00910,18.4,-66.06,San Juan,PR,
00911,18.45,-66.06,San Juan,PR,
00912,18.45,-66.06,San Juan,PR,
00913,18.45,-66.04,San Juan,PR,
00914,18.4,-66.06,San Juan,PR,
00915,18.44,-66.05,San Juan,PR,
00916,18.4,-66.06,San Juan,PR,
00917,18.42,-66.05,San Juan,PR,
00918,18.42,-66.07,San Juan,PR,
00919,18.4,-66.06,San Juan,PR,
00920,18.41,-66.09,San Juan,PR,
00921,18.39,-66.09,San Juan,PR,
00922,18.4,-66.06,San Juan,PR,
00923,18.41,-66.04,San Juan,PR,
00924,18.4,-66.01,San Juan,PR,
00925,18.4,-66.05,San Juan,PR,
00926,18.35,-66.05,San Juan,PR,
00927,18.4,-66.06,San Juan,PR,
00928,18.4,-66.06,San Juan,PR,
00929,18.4,-66.06,San Juan,PR,
00930,18.4,-66.06,San Juan,PR,
00931,18.4,-66.06,San Juan,PR,
00933,18.4,-66.06,San Juan,PR,
00934,18.41,-66.12,Fort Buchanan,PR,
00935,18.4,-66.06,San Juan,PR,
00936,18.4,-66.07,San Juan,PR,
00937,18.4,-66.06,San Juan,PR,
00939,18.4,-66.06,San Juan,PR,
00940,18.4,-66.06,San Juan,PR,
00949,18.44,-66.25,Toa Baja,PR,
00950,18.46,-66.23,Toa Baja,PR,
00951,18.43,-66.26,Toa Baja,PR,
00952,18.42,-66.19,Sabana Seca,PR,
00953,18.39,-66.25,Toa Alta,PR,
00954,18.39,-66.25,Toa Alta,PR,
00955,18.4,-66.06,San Juan,PR,
00956,18.32,-66.17,Bayamon,PR,
00957,18.37,-66.19,Bayamon,PR,
00958,18.28,-66.13,Bayamon,PR,
00959,18.39,-66.15,Bayamon,PR,
00960,18.42,-66.15,Bayamon,PR,
00961,18.41,-66.17,Bayamon,PR,
00962,18.44,-66.15,Catano,PR,
00963,18.43,-66.11,Catano,PR,
00965,18.43,-66.11,Guaynabo,PR,
00966,18.4,-66.12,Guaynabo,PR,
00968,18.41,-66.1,Guaynabo,PR,
00969,18.38,-66.11,Guaynabo,PR,
00970,18.38,-66.11,Guaynabo,PR,
00971,18.32,-66.12,Guaynabo,PR,
00975,18.4,-66.06,San Juan,PR,
00976,18.36,-66.01,Trujillo Alto,PR,
00977,18.36,-66.01,Trujillo Alto,PR,
00978,18.37,-66.01,Saint Just,PR,
00979,18.44,-66.03,Carolina,PR,
00981,18.4,-65.98,Carolina,PR,
00982,18.41,-65.99,Carolina,PR,
00983,18.4,-65.98,Carolina,PR,
00984,18.4,-65.98,Carolina,PR,
00985,18.41,-65.95,Carolina,PR,
00986,18.4,-65.98,Carolina,PR,
00987,18.34,-65.94,Carolina,PR,
00988,18.4,-65.98,Carolina,PR,
01001,42.06,-72.61,Agawam,MA,
01002,42.37,-72.52,Amherst,MA,
01003,42.39,-72.52,Amherst,MA,
01004,42.37,-72.52,Amherst,MA,
01005,42.42,-72.1,Barre,MA,
01007,42.27,-72.4,Belchertown,MA,
01008,42.18,-72.93,Blandford,MA,
01009,42.21,-72.34,Bondsville,MA,
01010,42.11,-72.2,Brimfield,MA,
01011,42.28,-72.98,Chester,MA,
01012,42.4,-72.85,Chesterfield,MA,
01013,42.15,-72.6,Chicopee,MA,
01014,42.17,-72.57,Chicopee,MA,
01020,42.17,-72.57,Chicopee,MA,
01021,42.17,-72.57,Chicopee,MA,
01022,42.2,-72.54,Chicopee,MA,
01026,42.46,-72.9,Cummington,MA,
01027,42.26,-72.68,Easthampton,MA,
01028,42.06,-72.51,East Longmeadow,MA,
01029,42.17,-73.03,East Otis,MA,
01030,42.06,-72.67,Feeding Hills,MA,
01031,42.33,-72.2,Gilbertville,MA,
01032,42.46,-72.81,Goshen,MA,
01033,42.26,-72.52,Granby,MA,
01034,42.06,-72.86,Granville,MA,
01035,42.35,-72.58,Hadley,MA,
01036,42.06,-72.41,Hampden,MA,
01037,42.35,-72.2,Hardwick,MA,
01038,42.37,-72.6,Hatfield,MA,
01039,42.39,-72.7,Haydenville,MA,
01040,42.21,-72.64,Holyoke,MA,
01041,42.21,-72.64,Holyoke,MA,
01050,42.23,-72.88,Huntington,MA,
01053,42.35,-72.71,Leeds,MA,
01054,42.45,-72.5,Leverett,MA,
01056,42.16,-72.48,Ludlow,MA,
01057,42.09,-72.31,Monson,MA,
01059,42.4,-72.52,North Amherst,MA,
01060,42.32,-72.63,Northampton,MA,
01061,42.32,-72.67,Northampton,MA,
01062,42.32,-72.67,Florence,MA,
01063,42.32,-72.64,Northampton,MA,
01066,42.41,-72.66,North Hatfield,MA,
01068,42.35,-72.05,Oakham,MA,
01069,42.16,-72.32,Palmer,MA,
01070,42.51,-72.91,Plainfield,MA,
01071,42.18,-72.85,Russell,MA,
01072,42.45,-72.4,Shutesbury,MA,
01073,42.23,-72.73,Southampton,MA,
01074,42.38,-72.1,South Barre,MA,
01075,42.26,-72.56,South Hadley,MA,
01077,42.05,-72.76,Southwick,MA,
01079,42.2,-72.33,Thorndike,MA,
01080,42.18,-72.37,Three Rivers,MA,
01081,42.06,-72.21,Wales,MA,
01082,42.25,-72.24,Ware,MA,
01083,42.21,-72.19,Warren,MA,
01084,42.39,-72.88,West Chesterfield,MA,
01085,42.13,-72.75,Westfield,MA,
01086,42.13,-72.79,Westfield,MA,
01088,42.39,-72.64,West Hatfield,MA,
01089,42.12,-72.65,West Springfield,MA,
01090,42.12,-72.65,West Springfield,MA,
01092,42.19,-72.24,West Warren,MA,
01093,42.44,-72.65,Whately,MA,
01094,42.37,-72.14,Wheelwright,MA,
01095,42.13,-72.43,Wilbraham,MA,
01096,42.4,-72.76,Williamsburg,MA,
01097,42.18,-72.83,Woronoco,MA,
01098,42.41,-72.93,Worthington,MA,
01101,42.11,-72.53,Springfield,MA,
01102,42.11,-72.53,Springfield,MA,
01103,42.1,-72.59,Springfield,MA,
01104,42.13,-72.57,Springfield,MA,
01105,42.1,-72.58,Springfield,MA,
01106,42.04,-72.57,Longmeadow,MA,
01107,42.12,-72.61,Springfield,MA,
01108,42.08,-72.56,Springfield,MA,
01109,42.11,-72.53,Springfield,MA,
01111,42.11,-72.53,Springfield,MA,
01115,42.11,-72.53,Springfield,MA,
01116,42.04,-72.57,Longmeadow,MA,
01118,42.09,-72.53,Springfield,MA,
01119,42.12,-72.51,Springfield,MA,
01128,42.09,-72.49,Springfield,MA,
01129,42.12,-72.49,Springfield,MA,
01133,42.1,-72.59,Springfield,MA,
01138,42.11,-72.53,Springfield,MA,
01139,42.11,-72.53,Springfield,MA,
01144,42.1,-72.59,Springfield,MA,
01151,42.15,-72.51,Indian Orchard,MA,
01152,42.11,-72.53,Springfield,MA,
01195,42.1,-72.58,Springfield,MA,
01199,42.12,-72.6,Springfield,MA,
01201,42.45,-73.26,Pittsfield,MA,
01202,42.45,-73.26,Pittsfield,MA,
01203,42.45,-73.26,Pittsfield,MA,
01220,42.62,-73.11,Adams,MA,
01222,42.05,-73.33,Ashley Falls,MA,
01223,42.33,-73.07,Becket,MA,
01224,42.5,-73.2,Berkshire,MA,
01225,42.55,-73.15,Cheshire,MA,
01226,42.47,-73.16,Dalton,MA,
01227,42.47,-73.16,Dalton,MA,
01229,42.28,-73.34,Glendale,MA,
01230,42.19,-73.35,Great Barrington,MA,
01235,42.42,-73.07,Hinsdale,MA,
01236,42.27,-73.38,Housatonic,MA,
01237,42.51,-73.22,Lanesborough,MA,
01238,42.3,-73.25,Lee,MA,
01240,42.35,-73.28,Lenox,MA,
01242,42.33,-73.25,Lenox Dale,MA,
01243,42.35,-73.01,Middlefield,MA,
01244,42.12,-73.26,Mill River,MA,
01245,42.18,-73.21,Monterey,MA,
01247,42.68,-73.11,North Adams,MA,
01252,42.17,-73.44,North Egremont,MA,
01253,42.21,-73.11,Otis,MA,
01254,42.37,-73.36,Richmond,MA,
01255,42.11,-73.13,Sandisfield,MA,
01256,42.56,-73.02,Savoy,MA,
01257,42.1,-73.34,Sheffield,MA,
01258,42.11,-73.46,South Egremont,MA,
01259,42.07,-73.23,Southfield,MA,
01260,42.26,-73.28,South Lee,MA,
01262,42.3,-73.32,Stockbridge,MA,
01263,42.3,-73.32,Stockbridge,MA,
01264,42.24,-73.19,Tyringham,MA,
01266,42.31,-73.39,West Stockbridge,MA,
01267,42.7,-73.2,Williamstown,MA,
01270,42.51,-73.04,Windsor,MA,
01301,42.58,-72.59,Greenfield,MA,
01302,42.58,-72.59,Greenfield,MA,
01330,42.53,-72.78,Ashfield,MA,
01331,42.59,-72.23,Athol,MA,
01337,42.66,-72.55,Bernardston,MA,
01338,42.58,-72.81,Buckland,MA,
01339,42.63,-72.88,Charlemont,MA,
01340,42.66,-72.68,Colrain,MA,
01341,42.51,-72.68,Conway,MA,
01342,42.55,-72.6,Deerfield,MA,
01343,42.66,-72.98,Drury,MA,
01344,42.6,-72.4,Erving,MA,
01346,42.66,-72.83,Heath,MA,
01347,42.56,-72.51,Lake Pleasant,MA,
01349,42.56,-72.48,Millers Falls,MA,
01350,42.72,-72.98,Monroe Bridge,MA,
01351,42.53,-72.53,Montague,MA,
01354,42.62,-72.51,Gill,MA,
01355,42.5,-72.33,New Salem,MA,
01360,42.7,-72.43,Northfield,MA,
01364,42.59,-72.3,Orange,MA,
01366,42.48,-72.18,Petersham,MA,
01367,42.7,-72.9,Rowe,MA,
01368,42.68,-72.18,Royalston,MA,
01370,42.6,-72.74,Shelburne Falls,MA,
01373,42.47,-72.59,South Deerfield,MA,
01375,42.46,-72.58,Sunderland,MA,
01376,42.59,-72.55,Turners Falls,MA,
01378,42.68,-72.33,Warwick,MA,
01379,42.55,-72.4,Wendell,MA,
01380,42.59,-72.41,Wendell Depot,MA,
01420,42.58,-71.81,Fitchburg,MA,
01430,42.63,-71.9,Ashburnham,MA,
01431,42.68,-71.81,Ashby,MA,
01432,42.56,-71.58,Ayer,MA,
01434,42.53,-71.61,Devens,MA,
01436,42.6,-72.07,Baldwinville,MA,
01438,42.56,-72.03,East Templeton,MA,
01440,42.58,-71.98,Gardner,MA,
01441,42.58,-71.98,Westminster,MA,
01450,42.6,-71.57,Groton,MA,
01451,42.5,-71.58,Harvard,MA,
01452,42.48,-72.01,Hubbardston,MA,
01453,42.51,-71.77,Leominster,MA,
01460,42.53,-71.47,Littleton,MA,
01462,42.59,-71.72,Lunenburg,MA,
01463,42.66,-71.58,Pepperell,MA,
01464,42.54,-71.65,Shirley,MA,
01467,42.49,-71.61,Still River,MA,
01468,42.55,-72.06,Templeton,MA,
01469,42.66,-71.7,Townsend,MA,
01470,42.6,-71.57,Groton,MA,
01471,42.6,-71.57,Groton,MA,
01472,42.61,-71.62,West Groton,MA,
01473,42.55,-71.9,Westminster,MA,
01474,42.66,-71.74,West Townsend,MA,
01475,42.68,-72.04,Winchendon,MA,
01477,42.69,-72.01,Winchendon Springs,MA,
01501,42.2,-71.83,Auburn,MA,
01503,42.38,-71.63,Berlin,MA,
01504,42.04,-71.53,Blackstone,MA,
01505,42.35,-71.73,Boylston,MA,
01506,42.21,-72.1,Brookfield,MA,
01507,42.13,-71.96,Charlton,MA,
