ZipCode,Latitude,Longitude,City,State,Population
00501,40.81,-73.04,Holtsville,NY,
00544,40.81,-73.04,Holtsville,NY,
00601,18.16,-66.72,Adjuntas,PR,17242
00602,18.38,-67.18,Aguada,PR,37548
00603,18.43,-67.15,Aguadilla,PR,49804
00604,18.43,-67.15,Aguadilla,PR,
00605,18.43,-67.15,Aguadilla,PR,
00606,18.18,-66.98,Maricao,PR,5009
00610,18.28,-67.14,Anasco,PR,25731
00611,18.28,-66.81,Angeles,PR,1671
00612,18.45,-66.73,Arecibo,PR,62425
00613,18.45,-66.73,Arecibo,PR,
00614,18.45,-66.73,Arecibo,PR,
00616,18.42,-66.67,Bajadero,PR,9828
00617,18.45,-66.56,Barceloneta,PR,22541
00622,17.99,-67.15,Boqueron,PR,7838
00623,18.08,-67.14,Cabo Rojo,PR,39320
00624,18.06,-66.72,Penuelas,PR,21709
00627,18.48,-66.84,Camuy,PR,32873
00631,18.19,-66.82,Castaner,PR,1414
00636,18.16,-67.08,Rosario,PR,555
00637,18.08,-66.96,Sabana Grande,PR,23124
00638,18.33,-66.47,Ciales,PR,18109
00641,18.27,-66.7,Utuado,PR,24292
00646,18.47,-66.27,Dorado,PR,36272
00647,17.96,-66.94,Ensenada,PR,4611
00650,18.36,-66.56,Florida,PR,13637
00652,18.45,-66.6,Garrochales,PR,4020
00653,17.99,-66.89,Guanica,PR,9244
00656,18.02,-66.79,Guayanilla,PR,17965
00659,18.48,-66.82,Hatillo,PR,37421
00660,18.14,-67.12,Hormigueros,PR,15448
00662,18.5,-67.02,Isabela,PR,40770
00664,18.22,-66.59,Jayuya,PR,15066
00667,18.04,-67.06,Lajas,PR,23522
00669,18.29,-66.88,Lares,PR,27833
00670,18.27,-67.06,Las Marias,PR,8828
00674,18.43,-66.48,Manati,PR,39345
00676,18.39,-67.11,Moca,PR,36706
00677,18.34,-67.25,Rincon,PR,15379
00678,18.47,-66.93,Quebradillas,PR,25410
00680,18.2,-67.14,Mayaguez,PR,46056
00681,18.2,-67.14,Mayaguez,PR,
00682,18.22,-67.16,Mayaguez,PR,28299
00683,18.08,-67.04,San German,PR,29788
00685,18.33,-66.99,San Sebastian,PR,40294
00687,18.32,-66.4,Morovis,PR,28727
00688,18.38,-66.62,Sabana Hoyos,PR,12443
00690,18.49,-67.09,San Antonio,PR,5326
00692,18.41,-66.32,Vega Alta,PR,32873
00693,18.44,-66.39,Vega Baja,PR,56095
00694,18.48,-66.39,Vega Baja,PR,231
00698,18.03,-66.86,Yauco,PR,33774
00703,18.25,-66.1,Aguas Buenas,PR,25332
00704,17.96,-66.22,Aguirre,PR,6865
00705,18.14,-66.26,Aibonito,PR,24467
00707,18.0,-65.9,Maunabo,PR,10544
00714,17.97,-66.06,Arroyo,PR,15802
00715,18.01,-66.56,Mercedita,PR,2299
00716,17.98,-66.6,Ponce,PR,28423
00717,18.0,-66.61,Ponce,PR,14199
00718,18.21,-65.73,Naguabo,PR,23290
00719,18.3,-66.24,Naranjito,PR,30063
00720,18.22,-66.39,Orocovis,PR,20331
00721,18.37,-65.77,Palmer,PR,
00723,18.0,-66.01,Patillas,PR,15983
00725,18.23,-66.03,Caguas,PR,77223
00726,18.23,-66.03,Caguas,PR,
00727,18.22,-66.07,Caguas,PR,54207
00728,17.99,-66.66,Ponce,PR,36675
00729,18.37,-65.9,Canovanas,PR,47393
00730,18.03,-66.62,Ponce,PR,30521
00731,18.11,-66.63,Ponce,PR,12292
00732,17.98,-66.6,Ponce,PR,
00733,17.98,-66.6,Ponce,PR,
00734,17.98,-66.6,Ponce,PR,
00735,18.25,-65.68,Ceiba,PR,11299
00736,18.11,-66.16,Cayey,PR,45833
00737,18.11,-66.16,Cayey,PR,
00738,18.33,-65.65,Fajardo,PR,30706
00739,18.17,-66.15,Cidra,PR,34964
00740,18.33,-65.63,Puerto Real,PR,1492
00741,18.16,-65.75,Punta Santiago,PR,3526
00742,18.27,-65.65,Roosevelt Roads,PR,
00744,18.22,-65.79,Rio Blanco,PR,
00745,18.38,-65.83,Rio Grande,PR,47718
00751,17.97,-66.29,Salinas,PR,19369
00754,18.19,-65.96,San Lorenzo,PR,36673
00757,17.97,-66.4,Santa Isabel,PR,20183
00765,18.13,-65.44,Vieques,PR,8249
00766,18.13,-66.48,Villalba,PR,22354
00767,18.04,-65.87,Yabucoa,PR,30646
00769,18.08,-66.36,Coamo,PR,34163
00771,18.18,-65.86,Las Piedras,PR,34761
00772,18.43,-65.88,Loiza,PR,17936
00773,18.34,-65.72,Luquillo,PR,17772
00775,18.33,-65.3,Culebra,PR,1792
00777,18.22,-65.91,Juncos,PR,37717
00778,18.25,-65.97,Gurabo,PR,40585
00780,18.09,-66.57,Coto Laurel,PR,14934
00782,18.22,-66.22,Comerio,PR,17965
00783,18.34,-66.31,Corozal,PR,34093
00784,17.97,-66.11,Guayama,PR,36313
00785,17.97,-66.11,Guayama,PR,
00786,18.14,-66.23,La Plata,PR,273
00791,18.15,-65.81,Humacao,PR,47260
00792,18.15,-65.81,Humacao,PR,
00794,18.18,-66.3,Barranquitas,PR,28791
00795,18.05,-66.5,Juana Diaz,PR,43745
00801,18.35,-64.97,St Thomas,VI,
00802,18.35,-64.93,St Thomas,VI,
00803,18.35,-64.93,St Thomas,VI,
00804,18.35,-64.93,St Thomas,VI,
00805,18.34,-64.93,St Thomas,VI,
00820,17.74,-64.7,Christiansted,VI,
00821,17.74,-64.7,Christiansted,VI,
00822,17.74,-64.7,Christiansted,VI,
00823,17.72,-64.75,Christiansted,VI,
00824,17.74,-64.68,Christiansted,VI,
00830,18.33,-64.79,St John,VI,
00831,18.33,-64.79,St John,VI,
00840,17.71,-64.88,Frederiksted,VI,
00841,17.77,-64.81,Frederiksted,VI,
00850,17.73,-64.79,Kingshill,VI,
00851,17.75,-64.79,Kingshill,VI,
00901,18.47,-66.11,San Juan,PR,6218
00902,18.4,-66.06,San Juan,PR,
00906,18.46,-66.09,San Juan,PR,165
00907,18.45,-66.08,San Juan,PR,16864
00908,18.4,-66.06,San Juan,PR,
00909,18.44,-66.07,San Juan,PR,6987
00910,18.4,-66.06,San Juan,PR,
00911,18.45,-66.06,San Juan,PR,7496
00912,18.45,-66.06,San Juan,PR,5786
00913,18.45,-66.04,San Juan,PR,7261
00914,18.4,-66.06,San Juan,PR,
00915,18.44,-66.05,San Juan,PR,25075
00916,18.4,-66.06,San Juan,PR,
00917,18.42,-66.05,San Juan,PR,17319
00918,18.42,-66.07,San Juan,PR,17439
00919,18.4,-66.06,San Juan,PR,
00920,18.41,-66.09,San Juan,PR,14798
00921,18.39,-66.09,San Juan,PR,32062
00922,18.4,-66.06,San Juan,PR,
00923,18.41,-66.04,San Juan,PR,23607
00924,18.4,-66.01,San Juan,PR,49654
00925,18.4,-66.05,San Juan,PR,5501
00926,18.35,-66.05,San Juan,PR,96732
00927,18.4,-66.06,San Juan,PR,14297
00928,18.4,-66.06,San Juan,PR,
00929,18.4,-66.06,San Juan,PR,
00930,18.4,-66.06,San Juan,PR,
00931,18.4,-66.06,San Juan,PR,
00933,18.4,-66.06,San Juan,PR,
00934,18.41,-66.12,Fort Buchanan,PR,218
00935,18.4,-66.06,San Juan,PR,
00936,18.4,-66.07,San Juan,PR,
00937,18.4,-66.06,San Juan,PR,
00939,18.4,-66.06,San Juan,PR,
00940,18.4,-66.06,San Juan,PR,
00949,18.44,-66.25,Toa Baja,PR,67453
00950,18.46,-66.23,Toa Baja,PR,6
00951,18.43,-66.26,Toa Baja,PR,430
00952,18.42,-66.19,Sabana Seca,PR,8671
00953,18.39,-66.25,Toa Alta,PR,66369
00954,18.39,-66.25,Toa Alta,PR,
00955,18.4,-66.06,San Juan,PR,
00956,18.32,-66.17,Bayamon,PR,72353
00957,18.37,-66.19,Bayamon,PR,40540
00958,18.28,-66.13,Bayamon,PR,
00959,18.39,-66.15,Bayamon,PR,43625
00960,18.42,-66.15,Bayamon,PR,2891
00961,18.41,-66.17,Bayamon,PR,28062
00962,18.44,-66.15,Catano,PR,19741
00963,18.43,-66.11,Catano,PR,
00965,18.43,-66.11,Guaynabo,PR,6168
00966,18.4,-66.12,Guaynabo,PR,16977
00968,18.41,-66.1,Guaynabo,PR,3722
00969,18.38,-66.11,Guaynabo,PR,38838
00970,18.38,-66.11,Guaynabo,PR,
00971,18.32,-66.12,Guaynabo,PR,28517
00975,18.4,-66.06,San Juan,PR,
00976,18.36,-66.01,Trujillo Alto,PR,59879
00977,18.36,-66.01,Trujillo Alto,PR,
00978,18.37,-66.01,Saint Just,PR,
00979,18.44,-66.03,Carolina,PR,14929
00981,18.4,-65.98,Carolina,PR,
00982,18.41,-65.99,Carolina,PR,14182
00983,18.4,-65.98,Carolina,PR,31889
00984,18.4,-65.98,Carolina,PR,
00985,18.41,-65.95,Carolina,PR,31250
00986,18.4,-65.98,Carolina,PR,
00987,18.34,-65.94,Carolina,PR,58427
00988,18.4,-65.98,Carolina,PR,
01001,42.06,-72.61,Agawam,MA,16984
01002,42.37,-72.52,Amherst,MA,27558
01003,42.39,-72.52,Amherst,MA,13253
01004,42.37,-72.52,Amherst,MA,
01005,42.42,-72.1,Barre,MA,4900
01007,42.27,-72.4,Belchertown,MA,15423
01008,42.18,-72.93,Blandford,MA,1317
01009,42.21,-72.34,Bondsville,MA,980
01010,42.11,-72.2,Brimfield,MA,3711
01011,42.28,-72.98,Chester,MA,1201
01012,42.4,-72.85,Chesterfield,MA,519
01013,42.15,-72.6,Chicopee,MA,23656
01014,42.17,-72.57,Chicopee,MA,
01020,42.17,-72.57,Chicopee,MA,29781
01021,42.17,-72.57,Chicopee,MA,
01022,42.2,-72.54,Chicopee,MA,2158
01026,42.46,-72.9,Cummington,MA,1011
01027,42.26,-72.68,Easthampton,MA,17896
01028,42.06,-72.51,East Longmeadow,MA,16417
01029,42.17,-73.03,East Otis,MA,714
01030,42.06,-72.67,Feeding Hills,MA,11708
01031,42.33,-72.2,Gilbertville,MA,1406
01032,42.46,-72.81,Goshen,MA,483
01033,42.26,-72.52,Granby,MA,6092
01034,42.06,-72.86,Granville,MA,1977
01035,42.35,-72.58,Hadley,MA,5325
01036,42.06,-72.41,Hampden,MA,4966
01037,42.35,-72.2,Hardwick,MA,706
01038,42.37,-72.6,Hatfield,MA,2522
01039,42.39,-72.7,Haydenville,MA,1511
01040,42.21,-72.64,Holyoke,MA,38238
01041,42.21,-72.64,Holyoke,MA,
01050,42.23,-72.88,Huntington,MA,2467
01053,42.35,-72.71,Leeds,MA,2031
01054,42.45,-72.5,Leverett,MA,1889
01056,42.16,-72.48,Ludlow,MA,21002
01057,42.09,-72.31,Monson,MA,8152
01059,42.4,-72.52,North Amherst,MA,
01060,42.32,-72.63,Northampton,MA,14461
01061,42.32,-72.67,Northampton,MA,
01062,42.32,-72.67,Florence,MA,10910
01063,42.32,-72.64,Northampton,MA,2106
01066,42.41,-72.66,North Hatfield,MA,215
01068,42.35,-72.05,Oakham,MA,1904
01069,42.16,-72.32,Palmer,MA,8428
01070,42.51,-72.91,Plainfield,MA,577
01071,42.18,-72.85,Russell,MA,1486
01072,42.45,-72.4,Shutesbury,MA,1366
01073,42.23,-72.73,Southampton,MA,6224
01074,42.38,-72.1,South Barre,MA,584
01075,42.26,-72.56,South Hadley,MA,18168
01077,42.05,-72.76,Southwick,MA,9237
01079,42.2,-72.33,Thorndike,MA,701
01080,42.18,-72.37,Three Rivers,MA,2400
01081,42.06,-72.21,Wales,MA,1684
01082,42.25,-72.24,Ware,MA,10565
01083,42.21,-72.19,Warren,MA,2549
01084,42.39,-72.88,West Chesterfield,MA,185
01085,42.13,-72.75,Westfield,MA,41529
01086,42.13,-72.79,Westfield,MA,
01088,42.39,-72.64,West Hatfield,MA,598
01089,42.12,-72.65,West Springfield,MA,28835
01090,42.12,-72.65,West Springfield,MA,
01092,42.19,-72.24,West Warren,MA,1343
01093,42.44,-72.65,Whately,MA,290
01094,42.37,-72.14,Wheelwright,MA,60
01095,42.13,-72.43,Wilbraham,MA,14694
01096,42.4,-72.76,Williamsburg,MA,2509
01097,42.18,-72.83,Woronoco,MA,130
01098,42.41,-72.93,Worthington,MA,1147
01101,42.11,-72.53,Springfield,MA,
01102,42.11,-72.53,Springfield,MA,
01103,42.1,-72.59,Springfield,MA,2545
01104,42.13,-72.57,Springfield,MA,23598
01105,42.1,-72.58,Springfield,MA,12051
01106,42.04,-72.57,Longmeadow,MA,16165
01107,42.12,-72.61,Springfield,MA,11252
01108,42.08,-72.56,Springfield,MA,27671
01109,42.11,-72.53,Springfield,MA,30968
01111,42.11,-72.53,Springfield,MA,
01115,42.11,-72.53,Springfield,MA,
01116,42.04,-72.57,Longmeadow,MA,
01118,42.09,-72.53,Springfield,MA,14296
01119,42.12,-72.51,Springfield,MA,14393
01128,42.09,-72.49,Springfield,MA,2647
01129,42.12,-72.49,Springfield,MA,7024
01133,42.1,-72.59,Springfield,MA,
01138,42.11,-72.53,Springfield,MA,
01139,42.11,-72.53,Springfield,MA,
01144,42.1,-72.59,Springfield,MA,0
01151,42.15,-72.51,Indian Orchard,MA,9150
01152,42.11,-72.53,Springfield,MA,
01195,42.1,-72.58,Springfield,MA,
01199,42.12,-72.6,Springfield,MA,
01201,42.45,-73.26,Pittsfield,MA,45494
01202,42.45,-73.26,Pittsfield,MA,
01203,42.45,-73.26,Pittsfield,MA,
01220,42.62,-73.11,Adams,MA,8166
01222,42.05,-73.33,Ashley Falls,MA,835
01223,42.33,-73.07,Becket,MA,2430
01224,42.5,-73.2,Berkshire,MA,217
01225,42.55,-73.15,Cheshire,MA,3258
01226,42.47,-73.16,Dalton,MA,6324
01227,42.47,-73.16,Dalton,MA,
01229,42.28,-73.34,Glendale,MA,189
01230,42.19,-73.35,Great Barrington,MA,8907
01235,42.42,-73.07,Hinsdale,MA,2733
01236,42.27,-73.38,Housatonic,MA,1513
01237,42.51,-73.22,Lanesborough,MA,2365
01238,42.3,-73.25,Lee,MA,5722
01240,42.35,-73.28,Lenox,MA,4692
01242,42.33,-73.25,Lenox Dale,MA,449
01243,42.35,-73.01,Middlefield,MA,175
01244,42.12,-73.26,Mill River,MA,287
01245,42.18,-73.21,Monterey,MA,933
01247,42.68,-73.11,North Adams,MA,15147
01252,42.17,-73.44,North Egremont,MA,
01253,42.21,-73.11,Otis,MA,808
01254,42.37,-73.36,Richmond,MA,946
01255,42.11,-73.13,Sandisfield,MA,959
01256,42.56,-73.02,Savoy,MA,645
01257,42.1,-73.34,Sheffield,MA,2140
01258,42.11,-73.46,South Egremont,MA,160
01259,42.07,-73.23,Southfield,MA,643
01260,42.26,-73.28,South Lee,MA,233
01262,42.3,-73.32,Stockbridge,MA,1758
01263,42.3,-73.32,Stockbridge,MA,
01264,42.24,-73.19,Tyringham,MA,219
01266,42.31,-73.39,West Stockbridge,MA,1208
01267,42.7,-73.2,Williamstown,MA,7876
01270,42.51,-73.04,Windsor,MA,755
01301,42.58,-72.59,Greenfield,MA,18042
01302,42.58,-72.59,Greenfield,MA,
01330,42.53,-72.78,Ashfield,MA,1500
01331,42.59,-72.23,Athol,MA,13656
01337,42.66,-72.55,Bernardston,MA,2562
01338,42.58,-72.81,Buckland,MA,127
01339,42.63,-72.88,Charlemont,MA,1487
01340,42.66,-72.68,Colrain,MA,1803
01341,42.51,-72.68,Conway,MA,1539
01342,42.55,-72.6,Deerfield,MA,1538
01343,42.66,-72.98,Drury,MA,165
01344,42.6,-72.4,Erving,MA,1665
01346,42.66,-72.83,Heath,MA,352
01347,42.56,-72.51,Lake Pleasant,MA,204
01349,42.56,-72.48,Millers Falls,MA,827
01350,42.72,-72.98,Monroe Bridge,MA,118
01351,42.53,-72.53,Montague,MA,2293
01354,42.62,-72.51,Gill,MA,1546
01355,42.5,-72.33,New Salem,MA,879
01360,42.7,-72.43,Northfield,MA,2871
01364,42.59,-72.3,Orange,MA,7665
01366,42.48,-72.18,Petersham,MA,1187
01367,42.7,-72.9,Rowe,MA,506
01368,42.68,-72.18,Royalston,MA,1283
01370,42.6,-72.74,Shelburne Falls,MA,3932
01373,42.47,-72.59,South Deerfield,MA,4526
01375,42.46,-72.58,Sunderland,MA,3639
01376,42.59,-72.55,Turners Falls,MA,5324
01378,42.68,-72.33,Warwick,MA,780
01379,42.55,-72.4,Wendell,MA,774
01380,42.59,-72.41,Wendell Depot,MA,82
01420,42.58,-71.81,Fitchburg,MA,41940
01430,42.63,-71.9,Ashburnham,MA,6303
01431,42.68,-71.81,Ashby,MA,3193
01432,42.56,-71.58,Ayer,MA,8221
01434,42.53,-71.61,Devens,MA,1652
01436,42.6,-72.07,Baldwinville,MA,3208
01438,42.56,-72.03,East Templeton,MA,414
01440,42.58,-71.98,Gardner,MA,21577
01441,42.58,-71.98,Westminster,MA,
01450,42.6,-71.57,Groton,MA,11298
